0,1,2,3
198.0,209.0,4.873429109213617,2.0
299.0,1134.0,4.877884934243982,3.0
414.0,940.0,4.878170800634808,2.0
448.0,1040.0,4.887572251607927,4.0
733.0,735.0,4.890970229882196,2.0
398.0,1287.0,4.892118188815815,3.0
73.0,1243.0,4.908297114974982,3.0
318.0,1301.0,4.911753320080719,3.0
503.0,1198.0,4.914700011861652,3.0
103.0,133.0,4.919533756647123,2.0
323.0,325.0,4.9216001718295646,2.0
263.0,1238.0,4.923118221189198,3.0
693.0,706.0,4.927188959181152,2.0
176.0,834.0,4.9364489099402675,2.0
628.0,783.0,4.941467183779567,2.0
545.0,1299.0,4.941580640223234,3.0
753.0,1280.0,4.942007822797972,4.0
453.0,1256.0,4.946021813147141,3.0
113.0,471.0,4.94642792245239,2.0
59.0,104.0,4.953493506282497,2.0
870.0,873.0,4.957291844354936,2.0
574.0,1195.0,4.959035076215206,3.0
218.0,396.0,4.970359017858628,2.0
169.0,1282.0,4.9717763922472535,3.0
309.0,1191.0,4.984651682374064,3.0
197.0,1098.0,4.988722413195192,3.0
810.0,1174.0,5.01174608895852,3.0
831.0,1316.0,5.012147668288169,3.0
797.0,1225.0,5.013666826309874,3.0
1028.0,1354.0,5.014307839935104,9.0
26.0,869.0,5.026523968011737,2.0
621.0,945.0,5.0339151221776826,2.0
75.0,252.0,5.035527590363277,2.0
917.0,1158.0,5.040408171720099,3.0
154.0,983.0,5.057151605917999,3.0
891.0,1250.0,5.076620551279901,3.0
599.0,1285.0,5.085290343735254,3.0
464.0,1025.0,5.092042526366912,3.0
702.0,1411.0,5.10090730656605,3.0
497.0,1061.0,5.133282043486595,3.0
683.0,1271.0,5.134305509037666,3.0
249.0,258.0,5.153251473103008,2.0
279.0,320.0,5.159798885028406,2.0
1077.0,1353.0,5.168324086315661,6.0
480.0,535.0,5.200582882605789,2.0
270.0,1412.0,5.210809433154881,3.0
195.0,748.0,5.213136357534024,2.0
923.0,1018.0,5.235007543048824,3.0
304.0,1176.0,5.243435799087426,3.0
405.0,756.0,5.250043607406293,2.0
227.0,1090.0,5.2535982923621,3.0
1278.0,1335.0,5.256273697859511,5.0
255.0,1205.0,5.26129377351827,3.0
616.0,1414.0,5.264036056139731,4.0
351.0,1217.0,5.271482068262349,3.0
935.0,1320.0,5.275560033058023,4.0
53.0,1180.0,5.290713910747158,3.0
76.0,217.0,5.291610610817699,2.0
1235.0,1418.0,5.314184162042062,5.0
688.0,830.0,5.314362399744688,2.0
1115.0,1208.0,5.329394560388703,4.0
404.0,766.0,5.3314535488115435,2.0
630.0,1417.0,5.345455013573739,3.0
538.0,1327.0,5.357328702441859,6.0
1010.0,1273.0,5.358057845519951,7.0
1032.0,1328.0,5.358897725696584,4.0
222.0,1274.0,5.3657458819560295,4.0
163.0,841.0,5.366361771646906,2.0
1360.0,1456.0,5.369889218038709,4.0
1064.0,1263.0,5.384296422038639,4.0
395.0,1212.0,5.391449022533715,5.0
1210.0,1442.0,5.392194812007807,8.0
114.0,1276.0,5.404216245852422,3.0
1170.0,1315.0,5.418242272115006,4.0
1344.0,1413.0,5.425505661519914,4.0
1424.0,1454.0,5.437744030085025,7.0
468.0,1281.0,5.439765854562032,3.0
582.0,596.0,5.45051390416735,2.0
7.0,1384.0,5.457226070513595,4.0
37.0,54.0,5.470441749338457,2.0
397.0,1305.0,5.472762317909012,3.0
1122.0,1224.0,5.480506995347216,4.0
1060.0,1265.0,5.481992346829068,5.0
151.0,939.0,5.482862840533152,2.0
976.0,1139.0,5.484263576888615,4.0
724.0,1381.0,5.502768912525453,4.0
750.0,1245.0,5.504171076225807,3.0
1089.0,1091.0,5.507687605453284,4.0
138.0,317.0,5.523135442009385,2.0
633.0,1421.0,5.541894448457862,3.0
9.0,22.0,5.5474617245156335,2.0
682.0,911.0,5.55254310544844,2.0
