Component,Explained_Variance,Explained_Variance_Ratio,Cumulative_Variance_Ratio
PC402,0.09912334856404652,0.00010342725981363272,0.9841592962836583
PC403,0.09862831067167517,0.0001029107274985566,0.9842622070111569
PC404,0.09795921817720649,0.00010221258317365972,0.9843644195943305
PC405,0.09713227275082416,0.00010134973198163327,0.9844657693263121
PC406,0.0965432587649381,0.00010073514315433254,0.9845665044694665
PC407,0.09604350413117498,0.00010021368929812136,0.9846667181587646
PC408,0.09567327457077704,9.982738446188772e-05,0.9847665455432265
PC409,0.09516542727083427,9.929748655793531e-05,0.9848658430297844
PC410,0.09507724913196623,9.920547974611241e-05,0.9849650485095305
PC411,0.0941696701669197,9.825849392713955e-05,0.9850633070034577
PC412,0.09408516517890543,9.817031975347095e-05,0.9851614773232111
PC413,0.09277632631964021,9.680465143503298e-05,0.9852582819746462
PC414,0.09195139089285628,9.594389751628978e-05,0.9853542258721625
PC415,0.09148629459001204,9.545860684714385e-05,0.9854496844790096
PC416,0.09135175545000707,9.531822605099463e-05,0.9855450027050606
PC417,0.09038647521811287,9.431103359045565e-05,0.9856393137386511
PC418,0.0894615094713611,9.334590606002125e-05,0.9857326596447111
PC419,0.08889401958108603,9.27537758992331e-05,0.9858254134206104
PC420,0.08837474404405712,9.221195354697015e-05,0.9859176253741573
PC421,0.08783880941264377,9.165274876656973e-05,0.9860092781229238
PC422,0.0872609276594496,9.104977553074775e-05,0.9861003278984546
PC423,0.08710999606244657,9.089229052117676e-05,0.9861912201889758
PC424,0.08675944473704153,9.052651834402664e-05,0.9862817467073198
PC425,0.08595839355685332,8.96906857199521e-05,0.9863714373930398
PC426,0.08533415772250748,8.903934572025312e-05,0.98646047673876
PC427,0.0838980655945392,8.754089882769564e-05,0.9865480176375877
PC428,0.08355622415441473,8.718421471688823e-05,0.9866352018523046
PC429,0.08321522615259958,8.682841066627268e-05,0.9867220302629709
PC430,0.08298283373733321,8.65859278298808e-05,0.9868086161908007
PC431,0.08257462901683914,8.615999896150309e-05,0.9868947761897623
PC432,0.08208871445842968,8.565298611329035e-05,0.9869804291758756
PC433,0.08159040626085907,8.513304149717302e-05,0.9870655622173727
PC434,0.08104682055085333,8.456585343024229e-05,0.9871501280708029
PC435,0.08076190198932458,8.42685637753239e-05,0.9872343966345782
PC436,0.08068229701392417,8.41855023716035e-05,0.9873185821369499
PC437,0.07929924597276067,8.274239959670574e-05,0.9874013245365466
PC438,0.07911601969494815,8.255121767928137e-05,0.9874838757542259
PC439,0.07881022282527406,8.223214318524787e-05,0.9875661078974112
PC440,0.07816255734525826,8.155635623046565e-05,0.9876476642536416
PC441,0.07773917254835797,8.111458817052308e-05,0.9877287788418121
PC442,0.07739095981594085,8.075125612748935e-05,0.9878095300979396
PC443,0.07643392601986634,7.975266816097135e-05,0.9878892827661006
PC444,0.07629486315076887,7.960756721653263e-05,0.987968890333317
PC445,0.0762168184307973,7.952613381414543e-05,0.9880484164671312
PC446,0.07493900996316484,7.819284321926112e-05,0.9881266093103505
PC447,0.07480105012496037,7.804889319904363e-05,0.9882046582035495
PC448,0.07424793998722315,7.747176715608778e-05,0.9882821299707056
PC449,0.07398644412096989,7.719891720407377e-05,0.9883593288879097
PC450,0.07375266855438804,7.695499116027878e-05,0.9884362838790699
PC451,0.07345892131594417,7.664848948947978e-05,0.9885129323685594
PC452,0.07279238284427686,7.595301008242189e-05,0.9885888853786419
PC453,0.07262499616241876,7.577835551228604e-05,0.9886646637341542
PC454,0.07195956275615868,7.508402915230171e-05,0.9887397477633065
PC455,0.07146411408835715,7.456706822602794e-05,0.9888143148315326
PC456,0.07090889642975809,7.39877431541763e-05,0.9888883025746867
PC457,0.07044693658893725,7.350572513145817e-05,0.9889618082998182
PC458,0.07028488772710374,7.333664014817063e-05,0.9890351449399664
PC459,0.06981673400641834,7.284815930885795e-05,0.9891079930992752
PC460,0.06931700967355396,7.232673706920305e-05,0.9891803198363445
PC461,0.06907998379654406,7.207941958730607e-05,0.9892523992559318
PC462,0.06840400193572409,7.137408676147688e-05,0.9893237733426933
PC463,0.06836505679979975,7.133345063739436e-05,0.9893951067933306
PC464,0.06747553021491205,7.040530102845668e-05,0.9894655120943591
PC465,0.06696960294606358,6.987740652287323e-05,0.9895353895008819
PC466,0.06660603031936792,6.949804766275482e-05,0.9896048875485447
PC467,0.06619503226064677,6.906920417009592e-05,0.9896739567527147
PC468,0.06574938961060547,6.86042118265405e-05,0.9897425609645413
PC469,0.06572414061670842,6.857786652758062e-05,0.9898111388310689
PC470,0.06517607472213247,6.800600374757504e-05,0.9898791448348164
PC471,0.0648733271524908,6.769011095342632e-05,0.9899468349457698
PC472,0.06440062363982745,6.719688277129463e-05,0.9900140318285412
PC473,0.06379581245717342,6.656581083685398e-05,0.9900805976393781
PC474,0.06328417179980284,6.603195486883356e-05,0.9901466295942469
PC475,0.06259954289949676,6.531759955120497e-05,0.9902119471937981
PC476,0.06244041550713316,6.51515628868683e-05,0.990277098756685
PC477,0.06209350870920181,6.478959348167231e-05,0.9903418883501667
PC478,0.061989884422672,6.468146985428098e-05,0.990406569820021
PC479,0.06160881429942298,6.428385376064162e-05,0.9904708536737816
PC480,0.06111158768635607,6.37650376911593e-05,0.9905346187114727
PC481,0.06075258088402746,6.339044290237137e-05,0.9905980091543751
PC482,0.060537764780394715,6.316629953671195e-05,0.9906611754539119
PC483,0.06012000518843076,6.273040092671115e-05,0.9907239058548386
PC484,0.05982874417806064,6.242649343539321e-05,0.990786332348274
PC485,0.05969711703590308,6.228915107531687e-05,0.9908486214993493
PC486,0.059101158549349775,6.166731621884952e-05,0.9909102888155681
PC487,0.058740020306651056,6.129049744307839e-05,0.9909715793130112
PC488,0.05858415433282332,6.11278638072628e-05,0.9910327071768185
PC489,0.05803755647607865,6.055753280692762e-05,0.9910932647096254
PC490,0.057752718169790294,6.026032689191229e-05,0.9911535250365173
PC491,0.05733584430195626,5.982535246396381e-05,0.9912133503889813
PC492,0.05699437413706635,5.9469055749069704e-05,0.9912728194447303
PC493,0.056413709464757,5.88631787604737e-05,0.9913316826234908
PC494,0.05624075940402086,5.868271925092653e-05,0.9913903653427417
PC495,0.05598608991331577,5.8416992073996654e-05,0.9914487823348157
PC496,0.055500710449630494,5.791053755418851e-05,0.9915066928723699
PC497,0.055166559571112675,5.7561877927268366e-05,0.9915642547502972
PC498,0.055099367473265666,5.7491768365171045e-05,0.9916217465186624
PC499,0.054677892840840826,5.7051993408572464e-05,0.991678798512071
PC500,0.054339587000604275,5.669899841252462e-05,0.9917354975104835
PC501,0.05410749047989984,5.6456824318363266e-05,0.9917919543348018
PC502,0.053291413468206934,5.5605313444900806e-05,0.9918475596482468
PC503,0.05312647590744525,5.5433214336092924e-05,0.9919029928625829
PC504,0.0525450871435963,5.482658181608196e-05,0.991957819444399
PC505,0.05219088605528139,5.4457001404220196e-05,0.9920122764458033
PC506,0.0518760921008925,5.412853917428147e-05,0.9920664049849776
PC507,0.05170128632728028,5.394614337726466e-05,0.9921203511283548
PC508,0.05145247355663252,5.368652721772675e-05,0.9921740376555725
PC509,0.05122348930669773,5.3447600528361195e-05,0.9922274852561009
PC510,0.0507290350000997,5.2931677138208154e-05,0.9922804169332391
PC511,0.05051607404089991,5.270946946689361e-05,0.992333126402706
PC512,0.05011570066570717,5.229171197889102e-05,0.9923854181146848
PC513,0.049765726522446076,5.192654204499063e-05,0.9924373446567298
PC514,0.04953185242981151,5.16825131971661e-05,0.992489027169927
PC515,0.0492302183324912,5.136778222203121e-05,0.9925403949521491
PC516,0.048929768607980144,5.1054287044879676e-05,0.992591449239194
PC517,0.048563489519595646,5.067210420917607e-05,0.9926421213434031
PC518,0.0484479042184095,5.055150022283382e-05,0.992692672843626
PC519,0.04801920388991057,5.010418583222686e-05,0.9927427770294581
