Component,Explained_Variance,Explained_Variance_Ratio,Cumulative_Variance_Ratio
PC330,0.10701350217225747,0.00011161317872206376,0.9853899871304235
PC331,0.10649895662242355,0.00011107651686866688,0.9855010636472922
PC332,0.10472055718332166,0.00010922167789595307,0.9856102853251881
PC333,0.10441585148920927,0.00010890387527848661,0.9857191892004666
PC334,0.10335730500051318,0.00010779983012502298,0.9858269890305916
PC335,0.1030338378241461,0.00010746245961537958,0.985934451490207
PC336,0.10178481825431644,0.00010615975442729638,0.9860406112446343
PC337,0.10077618513085025,0.00010510776802568124,0.9861457190126599
PC338,0.10015558214634833,0.00010446049015495834,0.9862501795028149
PC339,0.09923374234920612,0.00010349902764842412,0.9863536785304633
PC340,0.09806841548971702,0.000102283612468119,0.9864559621429314
PC341,0.0976264777616124,0.0001018226792809071,0.9865577848222123
PC342,0.09702796988512233,0.00010119844621471215,0.986658983268427
PC343,0.09645382775794162,0.00010059962619151793,0.9867595828946185
PC344,0.0960280462086003,0.00010015554361129647,0.9868597384382298
PC345,0.09535112291233121,9.944952465748265e-05,0.9869591879628873
PC346,0.09471937448604027,9.87906222892797e-05,0.9870579785851765
PC347,0.09404201778599074,9.808415130303423e-05,0.9871560627364796
PC348,0.0937257576347472,9.77542975923633e-05,0.987253817034072
PC349,0.09204160419791486,9.599775552313946e-05,0.9873498147895952
PC350,0.09141409012037806,9.534326950534718e-05,0.9874451580591005
PC351,0.09072909944482377,9.462883641847818e-05,0.987539786895519
PC352,0.08959921569274698,9.345038776858065e-05,0.9876332372832876
PC353,0.08943974092999084,9.328405842848946e-05,0.987726521341716
PC354,0.08902871919694612,9.285537007405052e-05,0.9878193767117901
PC355,0.08823162823269531,9.202401838062158e-05,0.9879114007301707
PC356,0.08741316731993941,9.117037821112782e-05,0.9880025711083819
PC357,0.08706926892207917,9.081169830099066e-05,0.9880933828066828
PC358,0.08663870158116357,9.03626242253087e-05,0.9881837454309081
PC359,0.0854758593674622,8.914980048635198e-05,0.9882728952313945
PC360,0.08508920120544927,8.874652290300903e-05,0.9883616417542975
PC361,0.08437445740129772,8.800105783239725e-05,0.9884496428121299
PC362,0.08367581158104798,8.727238267257081e-05,0.9885369151948025
PC363,0.08341122072494031,8.699641911739782e-05,0.9886239116139198
PC364,0.08251139114685375,8.60579128777206e-05,0.9887099695267976
PC365,0.08164530899882293,8.515460460713853e-05,0.9887951241314047
PC366,0.0811033095298582,8.458930880456356e-05,0.9888797134402093
PC367,0.08094176134197735,8.442081691895882e-05,0.9889641342571283
PC368,0.07991902895497302,8.335412523633534e-05,0.9890474883823646
PC369,0.07912636190302899,8.252738760472966e-05,0.9891300157699693
PC370,0.07891450167471668,8.230642115613465e-05,0.9892123221911254
PC371,0.07796621463264167,8.131737464369956e-05,0.9892936395657691
PC372,0.07734666760477414,8.067119811695817e-05,0.989374310763886
PC373,0.07700868562329542,8.031868892383879e-05,0.9894546294528099
PC374,0.07681416249660865,8.011580476376787e-05,0.9895347452575737
PC375,0.07642214532511454,7.970693782888653e-05,0.9896144521954026
PC376,0.07617669607415391,7.945093862730383e-05,0.9896939031340298
PC377,0.07573815422969482,7.899354728631279e-05,0.9897728966813162
